Name,S1 Clan,S2 Clan,S3 Clan,S4 Clan,S5 Clan
Shanker Mike,A,A,A,A,A
Anthony,A,B,E,F,D
Ace,E,C,C,C,C
Getinthehole,C,A,C,C,None
The Mate,B,B,B,B,B
BallBoy534,C,C,A,A,A
Scott,C,B,B,B,B
Longshanks,None,None,None,G,G
Bones,A,A,A,A,A
Jason,None,G,None,None,None
I,None,None,G,G,G
Not Sure,F,E,C,C,C
Justin,C,B,B,None,None
Hendrix,A,C,B,None,None
TeeTime,C,B,D,G,C
RTR Bama,C,B,B,B,B
Law,A,A,None,A,None
Beaner,B,B,B,B,B
Daddy T x 3,None,None,None,E,None
Beeferclaus,A,A,A,A,None
Tyler,F,F,F,D,E
Darlene,E,C,C,B,B
FrayBentos,D,C,C,E,D
明毅,B,F,F,F,E
XGC Loaded,B,F,F,F,F
Andy|K,B,D,D,D,D
Randy,A,A,A,A,A
D Dot Doug,G,F,E,E,E
Pat,F,E,E,E,D
Del,F,E,D,D,C
Frouimet,F,G,G,G,F
Chris,A,A,B,B,B
Udunngoe,E,E,E,E,None
Zephyr,A,E,E,D,B
Geoff,D,B,D,D,C
Stephen,E,E,None,None,None
Walter,E,E,E,D,C
Chris,E,A,A,A,A
Sneppahtihs,None,None,C,B,B
Mike,None,None,None,A,None
Quacky,E,A,B,B,B
Ours,None,None,None,B,A
Andrew,E,G,G,G,None
La Donco,G,C,E,E,D
Daniel,D,D,None,None,D
Ty Webb,G,F,F,F,F
Larry,E,C,C,D,C
Will,A,A,A,A,A
Hollywood,A,F,None,None,None
Larry Don,G,D,D,None,B
Gary,D,C,None,None,None
Schwabby78,G,F,F,F,F
Jack,None,None,None,None,None
Derick,C,B,B,B,B
Gerhard,D,G,G,G,None
Mike,B,F,F,D,E
Duggan,None,None,F,F,E
Tim,D,C,C,C,C
Burr,None,G,G,G,D
Bryan,C,G,G,G,F
Walt,G,F,F,C,C
Baron,A,A,A,A,A
Vegas Rose,None,None,F,F,C
Undertaker,B,F,F,F,E
Moises,A,B,E,G,C
ABooGie,0,0,0,0,D
Jon,C,B,B,None,None
Josh,G,A,A,A,A
Bean,None,None,G,G,G
Kat,None,B,B,B,D
The Phoenix,D,D,E,F,F
Barney,0,0,0,0,G
Michelle,C,B,B,B,B
NeoDawg,C,B,B,D,B
guest59,None,None,None,None,G
Brad H,D,C,F,F,E
Kenny,B,C,C,C,C
Tim,G,B,B,B,B
Paul,E,B,B,B,B
Rob,B,C,C,C,C
Lauras,G,G,G,None,None
NapoleonSolo,D,F,F,F,F
Benn Dover,F,F,None,None,None
Alex,None,None,F,None,None
Grip-n-Rip,F,A,D,D,D
Teddy13,C,G,G,G,G
Care,C,D,D,F,E
Brainiac,B,F,F,F,F
Craig,None,G,G,G,G
Brian,D,C,C,G,None
Ty Webb,A,A,A,A,A
Andrew,A,B,B,B,A
RichDolla,0,0,0,0,0
Law,None,None,None,None,None
Gwo,D,A,A,A,None
Slumerican,B,F,F,D,E
DLB,B,B,B,A,B
John P,C,F,F,F,None
Ben,G,A,A,A,A
Bruce,A,D,D,D,D
Dylan,0,0,0,0,A
Ron,B,B,B,B,B
Shooter,E,B,B,B,B
Flash Clash,G,F,D,D,E
Sam,E,C,C,E,D
Warren,F,D,None,None,None
Michael,C,D,D,D,E
Venician,A,A,A,None,None
Trouble Boy,H,G,B,B,None
Tanstaafl,B,E,None,None,None
Delroy,D,C,C,C,C
Charles,A,D,D,C,C
Ty Webb,G,G,G,G,F
Ghost,E,C,C,B,A
Studnitz,E,D,C,C,C
Dalton,F,F,F,C,C
Tee-1000,A,B,B,B,B
James,E,G,G,G,None
Jochen,H,G,B,A,D
Rory,None,None,None,F,F
Andy G,D,E,D,D,D
Tom,B,E,E,E,D
Bill,G,E,E,E,D
Bunkerseeker,G,C,None,None,None
HoneyB,C,B,B,B,B
Ricko,F,F,F,F,F
Charles,D,D,None,None,None
Jason,None,G,None,None,None
Jay Enright,F,C,F,F,D
Shao-Ting,G,F,F,F,F
ANewName,D,G,G,G,G
Ido Haiku,E,D,D,F,E
MrPWest,A,E,E,E,E
Jörgen,A,A,A,A,A
Luis,B,B,B,B,None
Virus,C,D,D,D,D
CaptPancakes,None,None,None,None,G
Jok3r,None,C,C,None,None
Amanda,B,D,D,C,C
Quackerjack,None,None,None,B,B
Darrin,B,D,D,None,None
FredM IV,H,F,F,F,F
Kernel,None,None,None,None,G
Tin Cup,D,D,D,C,B
Cliff,E,E,E,None,None
Oh Henrik,D,B,A,A,D
Derek,D,A,A,A,A
Awsungawd,G,G,G,G,None
Crash Davis,A,E,None,None,None
Shooter,0,0,0,0,0
Myst,C,F,F,E,E
JB,None,G,G,G,G
Gizmo,None,G,G,G,F
Bryantm,None,D,C,B,None
Ferchu,None,None,C,E,E
Badguest,B,F,F,F,F
Ray,G,F,D,D,E
The Hobbster,D,C,C,C,C
Gee,F,F,F,None,None
YankeeJoe,None,None,G,E,D
Dean,0,0,0,0,E
Joel,C,E,E,E,B
Fly Away,F,F,F,F,F
Justin,C,B,B,None,None
Richard,0,0,0,0,0
Luis,B,B,A,A,None
Da' Man,H,F,F,G,G
Jennifer,None,G,D,D,D
MerdeLadop,A,C,C,C,None
Bradley,D,A,A,A,A
Eugene,E,F,F,F,E
RobertGoulet,B,D,D,E,E
Hookslice,E,B,B,B,B
Craig,G,E,E,D,D
Becca,C,A,B,C,B
Mike the 3rd,None,None,E,F,F
Fred M.....,D,C,E,E,C
Blackandblue,None,E,E,D,E
Zack,D,A,A,B,B
Robert,E,C,C,C,C
Cuse33,E,D,D,D,D
Paul,D,C,A,A,A
Harris,F,E,E,F,D
Philip,B,C,C,C,C
John,C,B,B,B,E
Scott,H,A,A,A,A
Deek,None,None,G,D,D
Maverick,G,G,G,D,E
Joel,A,A,A,A,None
Buckeye45,D,F,E,E,E
Beaven,E,C,A,A,A
Michael,A,A,A,A,A
Hobart,G,G,G,G,G
ButtonButton,B,B,B,B,B
Gerd B Clash,None,G,G,G,F
Tom,C,G,G,G,F
Mike,C,E,C,C,C
Tommy,C,F,F,F,F
Kkimmes,F,G,None,None,None
Jack,A,C,C,C,C
Chris,C,F,F,F,F
Rory,E,B,E,C,B
James,E,A,A,A,B
Tom,E,E,E,E,E
Hawk,B,A,None,None,None
⛳Matthew⛳,D,A,A,A,A
Matt,A,A,A,A,A
Sketch,A,F,F,G,G
Olddog,E,F,F,F,F
Keyser Söze,G,A,A,A,C
Jeangulmanut,None,D,G,G,G
Les,A,F,None,None,None
Iceman,None,G,C,C,B
Hamish,G,E,E,F,E
David,E,D,D,D,E
Dave,B,A,A,A,A
Eazy E,0,0,0,0,F
Julio,A,D,B,E,C
Daddy T,None,None,None,A,None
Russell,D,E,E,E,E
Jhorn,None,None,G,G,E
Grip-n-Rip3,None,None,G,D,D
Prion,F,E,C,C,C
Venician2,B,B,B,None,None
Open Man,None,None,G,E,E
Cornholio,E,B,B,None,None
Rob,B,F,F,E,F
Lock2,G,E,E,E,D
Dick,A,F,None,None,None
Tee Time,D,B,B,B,B
Jon Snow,E,D,D,D,A
ZipperZipper,F,C,C,C,C
Bryan_Lock1,H,E,E,E,C
ΠΑΟΚ,D,C,C,C,C
Nick,A,A,A,A,A
BallKiller85,F,D,F,F,None
Dominic,F,E,E,E,E
Skadoosh,D,A,A,A,A
Portaguee,C,D,D,D,D
Tin Cup,B,C,A,B,B
Daddy T x 2,None,None,None,D,None
Chad,B,B,D,D,C
BruceLee1976,D,A,A,A,A
Gerd-Clash,None,G,G,G,F
Bink,A,D,D,D,D
Hawk,None,C,None,None,None
Edward,B,E,E,E,E
Miles...,None,G,G,E,C
Rassa,C,D,D,D,D
Noonan!,C,C,B,B,B
Kyle,B,B,B,B,None
Pod,None,G,G,G,F
Big Hampton,D,E,E,D,D
GC-Russ,G,E,F,F,F
Olddog62,E,E,E,E,E
Dan C.,E,C,C,C,C
Michael,None,None,D,D,None
Steve,C,D,D,D,D
Ty Webb,C,B,B,B,B
Stephen,G,B,A,A,None
Overreaction,D,E,F,F,F
Free.Rider,G,C,None,None,None
Shanker,F,C,C,C,C
Bohica,F,B,B,None,None
Go Blue TB12,D,C,C,C,C
Zemanch,F,E,C,C,C
Richard,E,G,G,G,E
Zoey,G,D,D,F,D
Jim,E,D,D,D,D
InDaHole,A,C,C,C,C
Tiger Would,0,0,0,0,B
OhYeah,C,B,B,B,B
Amber,H,E,E,E,E
TaylorMade,B,F,F,F,F
Kay,None,None,None,None,G
Anthony,C,G,G,G,None
Mike,B,E,E,F,E
Bust'n Balls,D,E,D,D,D
Pinky,0,0,0,0,B
F. Ouimet,C,A,B,B,A
MinH,F,B,B,D,B
Clint,D,F,F,F,None
Betheball,None,None,G,C,C
KC GC,F,C,C,C,B
Wurx,None,None,None,None,G
Foot Wedge $,D,E,C,C,C
Kevin,A,A,A,A,A
Velcro Balls,None,None,None,B,B
GolfPlumber,G,D,D,None,None
#GoBlue,B,E,E,E,E
Dregoboss,E,E,E,E,E
